"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30187","Testing search on playwright documentation page","firefox","Mon Sep 15 13:05:26 UTC 2025","broken","Mon Sep 15 13:05:56 UTC 2025","","test-search.spec.ts","",""
"","30125","Testing search on playwright documentation page","chromium","Mon Sep 15 13:03:51 UTC 2025","broken","Mon Sep 15 13:04:21 UTC 2025","","test-search.spec.ts","",""
"","30330","Testing search on playwright documentation page","webkit","Mon Sep 15 13:07:01 UTC 2025","broken","Mon Sep 15 13:07:31 UTC 2025","","test-search.spec.ts","",""
