"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","329","Authorization - Unauthenticated access is denied","chromium","Wed Jan 07 23:30:37 UTC 2026","failed","Wed Jan 07 23:30:37 UTC 2026","Feature: Employee Management","employee-crm-api/auth-and-employees.spec.ts","",""
"","330","Admin Registration - Admin can register with secret word","firefox","Wed Jan 07 23:33:31 UTC 2026","failed","Wed Jan 07 23:33:32 UTC 2026","Feature: Authentication","employee-crm-api/auth-and-employees.spec.ts","",""
"","328","Update Employee - Admin can update employee information","firefox","Wed Jan 07 23:33:51 UTC 2026","failed","Wed Jan 07 23:33:52 UTC 2026","Feature: Employee Management","employee-crm-api/auth-and-employees.spec.ts","",""
"","331","Employee List Response - Validates against OpenAPI schema","firefox","Wed Jan 07 23:34:49 UTC 2026","failed","Wed Jan 07 23:34:50 UTC 2026","Feature: OpenAPI Schema Validation","employee-crm-api/openapi-validation.spec.ts","",""
"","266","Swagger UI - Documentation is accessible and loads correctly","chromium","Wed Jan 07 23:30:58 UTC 2026","failed","Wed Jan 07 23:30:58 UTC 2026","Feature: OpenAPI Documentation","employee-crm-api/openapi-validation.spec.ts","",""
"","333","Login Response - Validates against OpenAPI schema","chromium","Wed Jan 07 23:31:18 UTC 2026","failed","Wed Jan 07 23:31:18 UTC 2026","Feature: OpenAPI Schema Validation","employee-crm-api/openapi-validation.spec.ts","",""
"","30177","Testing search on playwright documentation page","firefox","Wed Jan 07 23:36:01 UTC 2026","broken","Wed Jan 07 23:36:32 UTC 2026","","test-search.spec.ts","",""
"","330","DataFactory - Bulk create employees with generated data","chromium","Wed Jan 07 23:30:50 UTC 2026","failed","Wed Jan 07 23:30:50 UTC 2026","Feature: Data Generation","employee-crm-api/auth-and-employees.spec.ts","",""
"","329","Get Employee - Authenticated user can retrieve employee by ID","webkit","Wed Jan 07 23:37:12 UTC 2026","failed","Wed Jan 07 23:37:13 UTC 2026","Feature: Employee Management","employee-crm-api/auth-and-employees.spec.ts","",""
"","330","Employee List Response - Validates against OpenAPI schema","webkit","Wed Jan 07 23:38:13 UTC 2026","failed","Wed Jan 07 23:38:14 UTC 2026","Feature: OpenAPI Schema Validation","employee-crm-api/openapi-validation.spec.ts","",""
"","330","Login Response - Validates against OpenAPI schema","webkit","Wed Jan 07 23:38:07 UTC 2026","failed","Wed Jan 07 23:38:07 UTC 2026","Feature: OpenAPI Schema Validation","employee-crm-api/openapi-validation.spec.ts","",""
"","329","Admin Registration - Admin can register with secret word","chromium","Wed Jan 07 23:30:10 UTC 2026","failed","Wed Jan 07 23:30:11 UTC 2026","Feature: Authentication","employee-crm-api/auth-and-employees.spec.ts","",""
"","336","DataFactory - Create employee with generated test data","webkit","Wed Jan 07 23:37:32 UTC 2026","failed","Wed Jan 07 23:37:32 UTC 2026","Feature: Data Generation","employee-crm-api/auth-and-employees.spec.ts","",""
"","333","User Registration - Employee can register with valid credentials","firefox","Wed Jan 07 23:33:11 UTC 2026","failed","Wed Jan 07 23:33:12 UTC 2026","Feature: Authentication","employee-crm-api/auth-and-employees.spec.ts","",""
"","30167","Testing search on playwright documentation page","chromium","Wed Jan 07 23:32:35 UTC 2026","broken","Wed Jan 07 23:33:05 UTC 2026","","test-search.spec.ts","",""
"","329","Login Response - Validates against OpenAPI schema","firefox","Wed Jan 07 23:34:43 UTC 2026","failed","Wed Jan 07 23:34:43 UTC 2026","Feature: OpenAPI Schema Validation","employee-crm-api/openapi-validation.spec.ts","",""
"","30357","Testing search on playwright documentation page","webkit","Wed Jan 07 23:39:24 UTC 2026","broken","Wed Jan 07 23:39:54 UTC 2026","","test-search.spec.ts","",""
"","330","Registration Response - Validates against OpenAPI schema","chromium","Wed Jan 07 23:31:11 UTC 2026","failed","Wed Jan 07 23:31:11 UTC 2026","Feature: OpenAPI Schema Validation","employee-crm-api/openapi-validation.spec.ts","",""
"","331","User Login - Invalid credentials are rejected","firefox","Wed Jan 07 23:33:25 UTC 2026","failed","Wed Jan 07 23:33:25 UTC 2026","Feature: Authentication","employee-crm-api/auth-and-employees.spec.ts","",""
"","334","User Registration - Employee can register with valid credentials","webkit","Wed Jan 07 23:36:39 UTC 2026","failed","Wed Jan 07 23:36:39 UTC 2026","Feature: Authentication","employee-crm-api/auth-and-employees.spec.ts","",""
