"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30443","Testing search on playwright documentation page","webkit","Thu Jan 29 19:47:26 UTC 2026","broken","Thu Jan 29 19:47:56 UTC 2026","","test-search.spec.ts","",""
"","30177","Testing search on playwright documentation page","chromium","Thu Jan 29 19:44:12 UTC 2026","broken","Thu Jan 29 19:44:42 UTC 2026","","test-search.spec.ts","",""
"","30224","Testing search on playwright documentation page","firefox","Thu Jan 29 19:45:49 UTC 2026","broken","Thu Jan 29 19:46:19 UTC 2026","","test-search.spec.ts","",""
