"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","144","Mock specific HTTP method","chromium","Mon Oct 20 16:29:10 UTC 2025","passed","Mon Oct 20 16:29:10 UTC 2025","UI Tests with API Mocking","api/mocked-ui.spec.ts","",""
"","21","DELETE /posts/:id - should delete a post","chromium","Mon Oct 20 16:29:11 UTC 2025","passed","Mon Oct 20 16:29:11 UTC 2025","Posts API","api/posts.api.spec.ts","",""
"","25","POST /users - should create a new user","chromium","Mon Oct 20 16:29:11 UTC 2025","passed","Mon Oct 20 16:29:11 UTC 2025","Users API","api/users.api.spec.ts","",""
"","237","Mock API with conditional responses","firefox","Mon Oct 20 16:30:50 UTC 2025","passed","Mon Oct 20 16:30:50 UTC 2025","Advanced Mocking Scenarios","api/advanced-examples.spec.ts","",""
"","24","Filter posts by userId","firefox","Mon Oct 20 16:30:48 UTC 2025","passed","Mon Oct 20 16:30:48 UTC 2025","Advanced API Testing Examples > Pagination and Filtering","api/advanced-examples.spec.ts","",""
"","30122","Testing search on playwright documentation page","chromium","Mon Oct 20 16:30:13 UTC 2025","broken","Mon Oct 20 16:30:44 UTC 2025","","test-search.spec.ts","",""
"","18","Set custom headers","webkit","Mon Oct 20 16:32:33 UTC 2025","passed","Mon Oct 20 16:32:33 UTC 2025","Advanced API Testing Examples > Authentication and Headers","api/advanced-examples.spec.ts","",""
"","44","Filter posts by userId","chromium","Mon Oct 20 16:29:00 UTC 2025","passed","Mon Oct 20 16:29:00 UTC 2025","Advanced API Testing Examples > Pagination and Filtering","api/advanced-examples.spec.ts","",""
"","39","POST /posts - should create a new post","webkit","Mon Oct 20 16:32:46 UTC 2025","passed","Mon Oct 20 16:32:46 UTC 2025","Posts API","api/posts.api.spec.ts","",""
"","358","Mock delayed API response","webkit","Mon Oct 20 16:32:44 UTC 2025","passed","Mon Oct 20 16:32:44 UTC 2025","UI Tests with API Mocking","api/mocked-ui.spec.ts","",""
"","92","Measure API response time","chromium","Mon Oct 20 16:29:00 UTC 2025","passed","Mon Oct 20 16:29:00 UTC 2025","Advanced API Testing Examples > Performance Testing","api/advanced-examples.spec.ts","",""
"","25","Validate nested object structures","firefox","Mon Oct 20 16:30:47 UTC 2025","passed","Mon Oct 20 16:30:47 UTC 2025","Advanced API Testing Examples > Data Validation","api/advanced-examples.spec.ts","",""
"","25","PATCH /users/:id - should partially update a user","firefox","Mon Oct 20 16:30:54 UTC 2025","passed","Mon Oct 20 16:30:54 UTC 2025","Users API","api/users.api.spec.ts","",""
"","42","PUT /posts/:id - should update a post","webkit","Mon Oct 20 16:32:46 UTC 2025","passed","Mon Oct 20 16:32:46 UTC 2025","Posts API","api/posts.api.spec.ts","",""
"","21","Handle 404 errors gracefully","firefox","Mon Oct 20 16:30:47 UTC 2025","passed","Mon Oct 20 16:30:47 UTC 2025","Advanced API Testing Examples > Error Handling","api/advanced-examples.spec.ts","",""
"","198","Mock posts API - with custom data","firefox","Mon Oct 20 16:30:51 UTC 2025","passed","Mon Oct 20 16:30:51 UTC 2025","UI Tests with API Mocking","api/mocked-ui.spec.ts","",""
"","369","Mock API to simulate rate limiting","webkit","Mon Oct 20 16:32:41 UTC 2025","passed","Mon Oct 20 16:32:41 UTC 2025","Advanced Mocking Scenarios","api/advanced-examples.spec.ts","",""
"","344","Mock API with sequential responses","webkit","Mon Oct 20 16:32:40 UTC 2025","passed","Mon Oct 20 16:32:40 UTC 2025","Advanced Mocking Scenarios","api/advanced-examples.spec.ts","",""
"","21","GET /users/:id - should return a specific user","webkit","Mon Oct 20 16:32:46 UTC 2025","passed","Mon Oct 20 16:32:47 UTC 2025","Users API","api/users.api.spec.ts","",""
"","20","GET /posts - should return list of posts","webkit","Mon Oct 20 16:32:46 UTC 2025","passed","Mon Oct 20 16:32:46 UTC 2025","Posts API","api/posts.api.spec.ts","",""
