"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30378","Testing search on playwright documentation page","webkit","Tue Jan 06 20:53:31 UTC 2026","broken","Tue Jan 06 20:54:02 UTC 2026","","test-search.spec.ts","",""
"","430","Swagger UI - Documentation is accessible and loads correctly","webkit","Tue Jan 06 20:51:53 UTC 2026","failed","Tue Jan 06 20:51:54 UTC 2026","Feature: OpenAPI Documentation","employee-crm-api/openapi-validation.spec.ts","",""
"","333","Admin Registration - Admin can register with secret word","firefox","Tue Jan 06 20:47:09 UTC 2026","failed","Tue Jan 06 20:47:09 UTC 2026","Feature: Authentication","employee-crm-api/auth-and-employees.spec.ts","",""
"","331","User Login - Invalid credentials are rejected","firefox","Tue Jan 06 20:47:02 UTC 2026","failed","Tue Jan 06 20:47:03 UTC 2026","Feature: Authentication","employee-crm-api/auth-and-employees.spec.ts","",""
"","332","DataFactory - Create employee with generated test data","chromium","Tue Jan 06 20:44:02 UTC 2026","failed","Tue Jan 06 20:44:03 UTC 2026","Feature: Data Generation","employee-crm-api/auth-and-employees.spec.ts","",""
"","326","API Health - API endpoint is accessible","chromium","Tue Jan 06 20:44:16 UTC 2026","failed","Tue Jan 06 20:44:16 UTC 2026","Feature: System Health","employee-crm-api/auth-and-employees.spec.ts","",""
"","1193","Swagger UI - Documentation is accessible and loads correctly","firefox","Tue Jan 06 20:48:12 UTC 2026","failed","Tue Jan 06 20:48:13 UTC 2026","Feature: OpenAPI Documentation","employee-crm-api/openapi-validation.spec.ts","",""
"","335","DataFactory - Create employee with generated test data","webkit","Tue Jan 06 20:51:23 UTC 2026","failed","Tue Jan 06 20:51:23 UTC 2026","Feature: Data Generation","employee-crm-api/auth-and-employees.spec.ts","",""
"","335","DataFactory - Create employee with generated test data","firefox","Tue Jan 06 20:47:42 UTC 2026","failed","Tue Jan 06 20:47:42 UTC 2026","Feature: Data Generation","employee-crm-api/auth-and-employees.spec.ts","",""
"","331","List Employees - Authenticated user can retrieve all employees","webkit","Tue Jan 06 20:50:56 UTC 2026","failed","Tue Jan 06 20:50:57 UTC 2026","Feature: Employee Management","employee-crm-api/auth-and-employees.spec.ts","",""
"","331","Registration Response - Validates against OpenAPI schema","chromium","Tue Jan 06 20:44:48 UTC 2026","failed","Tue Jan 06 20:44:48 UTC 2026","Feature: OpenAPI Schema Validation","employee-crm-api/openapi-validation.spec.ts","",""
