"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30121","Testing search on playwright documentation page","chromium","Sun Nov 02 14:21:50 UTC 2025","broken","Sun Nov 02 14:22:20 UTC 2025","","test-search.spec.ts","",""
"","30335","Testing search on playwright documentation page","webkit","Sun Nov 02 14:25:00 UTC 2025","broken","Sun Nov 02 14:25:31 UTC 2025","","test-search.spec.ts","",""
"","30168","Testing search on playwright documentation page","firefox","Sun Nov 02 14:23:25 UTC 2025","broken","Sun Nov 02 14:23:56 UTC 2025","","test-search.spec.ts","",""
