"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30126","Testing search on playwright documentation page","chromium","Mon Sep 15 12:48:38 UTC 2025","broken","Mon Sep 15 12:49:08 UTC 2025","","test-search.spec.ts","",""
"","30320","Testing search on playwright documentation page","webkit","Mon Sep 15 12:51:48 UTC 2025","broken","Mon Sep 15 12:52:18 UTC 2025","","test-search.spec.ts","",""
"","30193","Testing search on playwright documentation page","firefox","Mon Sep 15 12:50:13 UTC 2025","broken","Mon Sep 15 12:50:43 UTC 2025","","test-search.spec.ts","",""
