"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30179","Testing search on playwright documentation page","firefox","Sun Nov 02 14:23:52 UTC 2025","broken","Sun Nov 02 14:24:23 UTC 2025","","test-search.spec.ts","",""
"","30112","Testing search on playwright documentation page","chromium","Sun Nov 02 14:22:17 UTC 2025","broken","Sun Nov 02 14:22:47 UTC 2025","","test-search.spec.ts","",""
"","30362","Testing search on playwright documentation page","webkit","Sun Nov 02 14:25:28 UTC 2025","broken","Sun Nov 02 14:25:58 UTC 2025","","test-search.spec.ts","",""
