"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","325","Login with valid credentials","firefox","Sun Jan 04 12:42:00 UTC 2026","failed","Sun Jan 04 12:42:00 UTC 2026","Employee CRM - Authentication API","employee-crm-api/auth-and-employees.spec.ts","",""
"","325","Fetch OpenAPI spec from API","chromium","Sun Jan 04 12:39:46 UTC 2026","failed","Sun Jan 04 12:39:46 UTC 2026","Employee CRM - OpenAPI Documentation","employee-crm-api/openapi-validation.spec.ts","",""
"","326","Validate error response schema","firefox","Sun Jan 04 12:43:49 UTC 2026","failed","Sun Jan 04 12:43:49 UTC 2026","Employee CRM - Schema Validation","employee-crm-api/openapi-validation.spec.ts","",""
"","324","Validate registration response schema","firefox","Sun Jan 04 12:43:30 UTC 2026","failed","Sun Jan 04 12:43:30 UTC 2026","Employee CRM - Schema Validation","employee-crm-api/openapi-validation.spec.ts","",""
"","326","Get employee by ID","chromium","Sun Jan 04 12:38:47 UTC 2026","failed","Sun Jan 04 12:38:48 UTC 2026","Employee CRM - Employee Management API","employee-crm-api/auth-and-employees.spec.ts","",""
"","325","Fetch OpenAPI spec from API","webkit","Sun Jan 04 12:47:04 UTC 2026","failed","Sun Jan 04 12:47:04 UTC 2026","Employee CRM - OpenAPI Documentation","employee-crm-api/openapi-validation.spec.ts","",""
"","325","Login with valid credentials","chromium","Sun Jan 04 12:38:21 UTC 2026","failed","Sun Jan 04 12:38:21 UTC 2026","Employee CRM - Authentication API","employee-crm-api/auth-and-employees.spec.ts","",""
"","329","Bulk create employees with DataFactory","firefox","Sun Jan 04 12:42:52 UTC 2026","failed","Sun Jan 04 12:42:52 UTC 2026","Employee CRM - Data Factory Integration","employee-crm-api/auth-and-employees.spec.ts","",""
"","325","Validate employee list response schema","webkit","Sun Jan 04 12:47:24 UTC 2026","failed","Sun Jan 04 12:47:24 UTC 2026","Employee CRM - Schema Validation","employee-crm-api/openapi-validation.spec.ts","",""
"","328","Create employee with generated data","webkit","Sun Jan 04 12:46:25 UTC 2026","failed","Sun Jan 04 12:46:26 UTC 2026","Employee CRM - Data Factory Integration","employee-crm-api/auth-and-employees.spec.ts","",""
