"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30352","Testing search on playwright documentation page","webkit","Sun Nov 02 17:10:53 UTC 2025","broken","Sun Nov 02 17:11:23 UTC 2025","","test-search.spec.ts","",""
"","30168","Testing search on playwright documentation page","firefox","Sun Nov 02 17:09:18 UTC 2025","broken","Sun Nov 02 17:09:48 UTC 2025","","test-search.spec.ts","",""
"","30125","Testing search on playwright documentation page","chromium","Sun Nov 02 17:07:43 UTC 2025","broken","Sun Nov 02 17:08:13 UTC 2025","","test-search.spec.ts","",""
