"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30127","Testing search on playwright documentation page","chromium","Sun Nov 02 13:53:18 UTC 2025","broken","Sun Nov 02 13:53:48 UTC 2025","","test-search.spec.ts","",""
"","30194","Testing search on playwright documentation page","firefox","Sun Nov 02 13:54:53 UTC 2025","broken","Sun Nov 02 13:55:24 UTC 2025","","test-search.spec.ts","",""
"","30330","Testing search on playwright documentation page","webkit","Sun Nov 02 13:56:28 UTC 2025","broken","Sun Nov 02 13:56:58 UTC 2025","","test-search.spec.ts","",""
