"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30181","Testing search on playwright documentation page","firefox","Sun Nov 02 13:51:48 UTC 2025","broken","Sun Nov 02 13:52:18 UTC 2025","","test-search.spec.ts","",""
"","30125","Testing search on playwright documentation page","chromium","Sun Nov 02 13:50:13 UTC 2025","broken","Sun Nov 02 13:50:43 UTC 2025","","test-search.spec.ts","",""
"","30327","Testing search on playwright documentation page","webkit","Sun Nov 02 13:53:23 UTC 2025","broken","Sun Nov 02 13:53:54 UTC 2025","","test-search.spec.ts","",""
