"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30111","Testing search on playwright documentation page","chromium","Sun Nov 02 14:40:57 UTC 2025","broken","Sun Nov 02 14:41:27 UTC 2025","","test-search.spec.ts","",""
"","30358","Testing search on playwright documentation page","webkit","Sun Nov 02 14:44:08 UTC 2025","broken","Sun Nov 02 14:44:38 UTC 2025","","test-search.spec.ts","",""
"","30172","Testing search on playwright documentation page","firefox","Sun Nov 02 14:42:32 UTC 2025","broken","Sun Nov 02 14:43:03 UTC 2025","","test-search.spec.ts","",""
