"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30173","Testing search on playwright documentation page","firefox","Sun Nov 02 14:18:29 UTC 2025","broken","Sun Nov 02 14:18:59 UTC 2025","","test-search.spec.ts","",""
"","30372","Testing search on playwright documentation page","webkit","Sun Nov 02 14:20:04 UTC 2025","broken","Sun Nov 02 14:20:35 UTC 2025","","test-search.spec.ts","",""
"","30125","Testing search on playwright documentation page","chromium","Sun Nov 02 14:16:54 UTC 2025","broken","Sun Nov 02 14:17:24 UTC 2025","","test-search.spec.ts","",""
