"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","328","Registration Response - Validates against OpenAPI schema","firefox","Wed Jan 07 13:18:31 UTC 2026","failed","Wed Jan 07 13:18:31 UTC 2026","Feature: OpenAPI Schema Validation","employee-crm-api/openapi-validation.spec.ts","",""
"","327","Authorization - Unauthenticated access is denied","webkit","Wed Jan 07 13:21:11 UTC 2026","failed","Wed Jan 07 13:21:12 UTC 2026","Feature: Employee Management","employee-crm-api/auth-and-employees.spec.ts","",""
"","332","Authorization - Unauthenticated access is denied","chromium","Wed Jan 07 13:14:26 UTC 2026","failed","Wed Jan 07 13:14:27 UTC 2026","Feature: Employee Management","employee-crm-api/auth-and-employees.spec.ts","",""
"","328","Employee List Response - Validates against OpenAPI schema","firefox","Wed Jan 07 13:18:43 UTC 2026","failed","Wed Jan 07 13:18:43 UTC 2026","Feature: OpenAPI Schema Validation","employee-crm-api/openapi-validation.spec.ts","",""
"","327","Login Response - Validates against OpenAPI schema","firefox","Wed Jan 07 13:18:37 UTC 2026","failed","Wed Jan 07 13:18:37 UTC 2026","Feature: OpenAPI Schema Validation","employee-crm-api/openapi-validation.spec.ts","",""
"","328","Employee List Response - Validates against OpenAPI schema","chromium","Wed Jan 07 13:15:19 UTC 2026","failed","Wed Jan 07 13:15:20 UTC 2026","Feature: OpenAPI Schema Validation","employee-crm-api/openapi-validation.spec.ts","",""
"","30388","Testing search on playwright documentation page","webkit","Wed Jan 07 13:23:16 UTC 2026","broken","Wed Jan 07 13:23:46 UTC 2026","","test-search.spec.ts","",""
"","30166","Testing search on playwright documentation page","firefox","Wed Jan 07 13:19:54 UTC 2026","broken","Wed Jan 07 13:20:24 UTC 2026","","test-search.spec.ts","",""
"","329","DataFactory - Create employee with generated test data","chromium","Wed Jan 07 13:14:32 UTC 2026","failed","Wed Jan 07 13:14:32 UTC 2026","Feature: Data Generation","employee-crm-api/auth-and-employees.spec.ts","",""
"","330","DataFactory - Bulk create employees with generated data","chromium","Wed Jan 07 13:14:38 UTC 2026","failed","Wed Jan 07 13:14:38 UTC 2026","Feature: Data Generation","employee-crm-api/auth-and-employees.spec.ts","",""
"","334","DataFactory - Bulk create employees with generated data","webkit","Wed Jan 07 13:21:23 UTC 2026","failed","Wed Jan 07 13:21:23 UTC 2026","Feature: Data Generation","employee-crm-api/auth-and-employees.spec.ts","",""
"","323","Database Connectivity - Database connection is working","chromium","Wed Jan 07 13:14:49 UTC 2026","failed","Wed Jan 07 13:14:50 UTC 2026","Feature: System Health","employee-crm-api/auth-and-employees.spec.ts","",""
"","330","Admin Registration - Admin can register with secret word","chromium","Wed Jan 07 13:14:03 UTC 2026","failed","Wed Jan 07 13:14:03 UTC 2026","Feature: Authentication","employee-crm-api/auth-and-employees.spec.ts","",""
"","330","Error Response - Validates against OpenAPI schema","webkit","Wed Jan 07 13:22:12 UTC 2026","failed","Wed Jan 07 13:22:12 UTC 2026","Feature: OpenAPI Schema Validation","employee-crm-api/openapi-validation.spec.ts","",""
"","323","Database Connectivity - Database connection is working","firefox","Wed Jan 07 13:18:09 UTC 2026","failed","Wed Jan 07 13:18:09 UTC 2026","Feature: System Health","employee-crm-api/auth-and-employees.spec.ts","",""
"","330","User Login - Valid credentials return JWT token","chromium","Wed Jan 07 13:13:51 UTC 2026","failed","Wed Jan 07 13:13:51 UTC 2026","Feature: Authentication","employee-crm-api/auth-and-employees.spec.ts","",""
"","1064","Swagger UI - Documentation is accessible and loads correctly","firefox","Wed Jan 07 13:18:18 UTC 2026","failed","Wed Jan 07 13:18:19 UTC 2026","Feature: OpenAPI Documentation","employee-crm-api/openapi-validation.spec.ts","",""
"","325","OpenAPI Spec - Specification is retrievable and valid","webkit","Wed Jan 07 13:21:49 UTC 2026","failed","Wed Jan 07 13:21:49 UTC 2026","Feature: OpenAPI Documentation","employee-crm-api/openapi-validation.spec.ts","",""
"","325","API Health - API endpoint is accessible","chromium","Wed Jan 07 13:14:44 UTC 2026","failed","Wed Jan 07 13:14:44 UTC 2026","Feature: System Health","employee-crm-api/auth-and-employees.spec.ts","",""
"","325","Get Employee - Authenticated user can retrieve employee by ID","webkit","Wed Jan 07 13:21:00 UTC 2026","failed","Wed Jan 07 13:21:00 UTC 2026","Feature: Employee Management","employee-crm-api/auth-and-employees.spec.ts","",""
"","328","Update Employee - Admin can update employee information","chromium","Wed Jan 07 13:14:20 UTC 2026","failed","Wed Jan 07 13:14:21 UTC 2026","Feature: Employee Management","employee-crm-api/auth-and-employees.spec.ts","",""
